,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,92,ZA,1548918414,99,-33.59,26.89,68.8,7.96
1,Khatanga,68,RU,1548918470,0,71.98,102.47,-35.42,3.94
2,Saskylakh,76,RU,1548918409,61,71.97,114.09,-13.06,10.76
3,Yellowknife,90,CA,1548914400,76,62.45,-114.38,-7.61,5.82
4,Punta Arenas,90,CL,1548914400,81,-53.16,-70.91,42.8,9.17
5,Portobelo,40,PA,1548918000,83,9.55,-79.65,73.4,5.82
7,Albany,1,US,1548917520,39,42.65,-73.75,-0.05,11.41
8,Mansfield,90,US,1548917700,54,32.56,-97.14,43.88,5.82
10,Pacific Grove,90,US,1548917700,77,36.62,-121.92,55.94,3.36
11,Swift Current,90,CA,1548915960,79,50.29,-107.8,23,18.34
12,Ilulissat,56,GL,1548913800,65,69.22,-51.1,6.8,10.29
13,Richards Bay,0,ZA,1548918828,69,-28.77,32.06,78.3,11.43
14,Ushuaia,75,AR,1548914400,80,-54.81,-68.31,41,9.17
15,Busselton,0,AU,1548918425,71,-33.64,115.35,79.06,1.14
17,Balkhash,90,KZ,1548916200,92,46.84,74.98,12.2,11.18
18,Kaitangata,8,NZ,1548918447,71,-46.28,169.85,78.88,6.29
19,Yar-Sale,8,RU,1548918584,0,66.83,70.83,-38.53,4.61
20,Leningradskiy,24,RU,1548918830,84,69.38,178.42,-8.92,19.37
21,Severo-Kurilsk,92,RU,1548918467,100,50.68,156.12,30.42,8.41
22,East London,75,ZA,1548914400,83,-33.02,27.91,73.4,10.29
23,Chokurdakh,0,RU,1548918444,0,70.62,147.9,-52.12,2.93
24,Vaini,24,IN,1548914400,39,15.34,74.49,78.8,6.93
25,Moroto,0,UG,1548918831,45,2.53,34.66,73.62,7.07
26,Jamestown,0,AU,1548918421,39,-33.21,138.6,80.41,8.97
27,Noumea,75,NC,1548918000,73,-22.28,166.46,77,14.99
28,Coffs Harbour,80,AU,1548916200,69,-30.3,153.13,86,18.34
29,Hermanus,92,ZA,1548918420,90,-34.42,19.24,64.03,5.06
30,Tomatlan,0,MX,1548918832,85,19.93,-105.25,55.98,2.15
31,Zarubino,0,RU,1548918833,89,42.65,131.06,19.75,14.79
32,Baghdad,0,IQ,1548918000,77,33.3,44.38,59,8.05
33,Rikitea,80,PF,1548918410,97,-23.12,-134.97,81.36,9.42
34,Cabo San Lucas,5,MX,1548913320,55,22.89,-109.91,62.6,4.7
35,Semey,40,KZ,1548916200,62,50.41,80.25,19.4,20.13
36,Innisfail,90,CA,1548914400,86,52.02,-113.95,30.2,2.24
37,Caravelas,80,BR,1548918495,100,-17.73,-39.27,82.26,10.31
38,Port Lincoln,0,AU,1548918462,78,-34.72,135.86,68.67,17.02
39,Cascais,75,PT,1548916200,93,38.7,-9.42,57.2,12.75
40,Batemans Bay,36,AU,1548918835,61,-35.71,150.18,82.3,5.39
41,Butaritari,92,KI,1548918432,100,3.07,172.79,84.24,14.12
42,Avarua,20,CK,1548914400,78,-21.21,-159.78,82.4,9.17
43,Kapaa,75,US,1548914160,86,22.08,-159.32,71.96,25.28
44,Dingle,88,PH,1548918477,60,11,122.67,83.56,14.79
45,Ribeira Grande,92,PT,1548918423,97,38.52,-28.7,62.28,20.83
46,Valparaiso,1,US,1548917700,68,41.47,-87.06,-11.21,5.82
48,Athabasca,44,CA,1548918382,83,54.72,-113.29,25.74,8.75
49,Thompson,5,CA,1548914400,72,55.74,-97.86,-41.81,2.59
50,Ostrovnoy,88,RU,1548918837,84,68.05,39.51,8.95,14.34
51,Kodiak,1,US,1548916500,49,39.95,-94.76,1.04,6.93
52,Monzon,90,IT,1548917400,89,46.45,11.69,32,1.12
53,Hilo,20,US,1548913980,73,19.71,-155.08,71.96,12.75
55,Lebu,0,ET,1548918429,52,8.96,38.73,56.61,4.05
57,Zarand,0,IR,1548918000,12,30.81,56.57,53.6,3.27
58,Bluff,8,AU,1548918417,34,-23.58,149.07,92.97,14.23
59,Mataura,80,NZ,1548918419,40,-46.19,168.86,82.35,19.93
60,Adrar,0,DZ,1548914400,31,27.87,-0.29,48.2,12.75
62,Castro,0,CL,1548914400,93,-42.48,-73.76,41,3.36
63,Atuona,88,PF,1548918414,99,-9.8,-139.03,81.9,19.6
64,Arona,40,IT,1548917400,100,45.76,8.56,30.2,5.82
65,Mamlyutka,0,KZ,1548916200,76,54.94,68.54,-5.81,11.18
66,Hobart,0,AU,1548916200,20,-42.88,147.33,62.6,23.04
67,Mehamn,75,NO,1548917400,85,71.03,27.85,21.2,10.29
68,The Valley,40,AI,1548914400,73,18.22,-63.06,77,11.41
69,Perelyub,8,RU,1548918841,55,51.87,50.37,-0.37,4.83
71,Arraial do Cabo,0,BR,1548918412,87,-22.97,-42.02,77.08,17.02
72,Longyearbyen,20,NO,1548913800,58,78.22,15.63,26.6,10.29
73,Necochea,0,AR,1548918478,98,-38.55,-58.74,56.34,5.95
74,Alzamay,64,RU,1548918842,51,55.55,98.67,7.78,5.5
75,Airai,88,TL,1548918449,85,-8.93,125.41,76.68,1.7
76,Mandalgovi,0,MN,1548918843,46,45.76,106.27,12.91,15.12
77,Kattivakkam,20,IN,1548916200,55,13.22,80.32,86,11.41
78,Omsukchan,68,RU,1548918843,80,62.53,155.8,-19.99,2.93
79,Tasiilaq,0,GL,1548913800,66,65.61,-37.64,10.4,3.36
80,Oranjemund,92,ZA,1548918528,93,-28.55,16.43,61.92,14
81,Cape Town,20,ZA,1548914400,68,-33.93,18.42,71.6,18.34
82,Kruisfontein,80,ZA,1548918844,93,-34,24.73,66.15,6.73
83,Carnarvon,44,ZA,1548918445,87,-30.97,22.13,58.5,5.17
84,Avera,1,US,1548917700,83,33.19,-82.53,32,3.36
85,Khor,44,RU,1548918845,54,47.88,134.96,7.02,13.22
86,Chuy,64,UY,1548918454,94,-33.69,-53.46,75.46,6.4
87,Turayf,0,SA,1548914400,100,31.68,38.65,42.8,2.82
88,General Pico,0,AR,1548918846,75,-35.66,-63.75,64.98,3.94
89,Lisakovsk,56,KZ,1548918847,84,52.55,62.49,7.51,10.87
90,Bambous Virieux,75,MU,1548914400,83,-20.34,57.76,80.6,10.29
91,Nuuk,48,GL,1548917400,72,64.17,-51.74,14,16.11
92,Quatre Cocos,75,MU,1548918000,70,-20.21,57.76,84.2,11.41
93,Kavaratti,0,IN,1548918430,100,10.57,72.64,82.26,5.84
94,Malinovoye Ozero,80,RU,1548918848,77,51.68,79.77,14.53,4.5
95,Bambanglipuro,32,ID,1548918848,94,-7.95,110.28,82.53,3.94
96,Port Elizabeth,1,US,1548917760,42,39.31,-74.98,10.94,12.75
97,Qaanaaq,64,GL,1548918411,91,77.48,-69.36,-4.24,8.19
98,Bredasdorp,56,ZA,1548914400,64,-34.53,20.04,73.4,12.75
100,Katsuura,75,JP,1548916200,81,33.93,134.5,46.4,17.22
101,Pevek,32,RU,1548918417,94,69.7,170.27,-21.29,1.59
102,Saldanha,92,PT,1548918520,98,41.42,-6.55,48.78,12.21
103,Mizan Teferi,0,ET,1548918850,61,6.99,35.58,71.46,2.82
104,Jutai,92,BR,1548918850,100,-1.71,-47.89,72.9,2.15
105,Mashhad,0,IR,1548918000,60,36.3,59.61,44.6,4.7
106,Esperance,20,TT,1548914400,100,10.24,-61.45,69.8,5.39
107,Udachnyy,32,RU,1548918851,0,66.42,112.4,-43.75,3.15
108,Syracuse,1,US,1548917700,57,43.05,-76.15,-2.03,6.93
110,Georgetown,75,GY,1548914400,94,6.8,-58.16,75.2,4.7
111,Provideniya,0,RU,1548918438,100,64.42,-173.23,15.25,22.5
112,Rio Grande,24,BR,1548918411,95,-32.03,-52.1,77.53,11.21
113,Taltal,24,CL,1548918852,95,-25.41,-70.49,59.08,1.92
114,Bethel,90,US,1548916680,92,60.79,-161.76,23,8.05
115,Poya,64,NC,1548918853,100,-21.35,165.16,77.53,15.57
117,Semypolky,90,UA,1548916200,95,50.72,30.95,33.8,13.42
118,Kahului,75,US,1548914160,93,20.89,-156.47,69.98,10.29
119,Piacabucu,0,BR,1548918854,92,-10.41,-36.43,73.71,3.94
121,Mahebourg,75,MU,1548914400,83,-20.41,57.7,80.6,10.29
122,Muli,32,IN,1548918855,39,22.62,71.45,75.46,6.62
123,Petlawad,0,IN,1548918855,46,22.96,74.82,72.63,11.1
124,Chivilcoy,8,AR,1548918805,81,-34.9,-60.02,66.55,13.22
125,Dikson,0,RU,1548918505,78,73.51,80.55,-17.24,7.07
126,Svetlogorsk,90,RU,1548916200,78,53.14,59.15,12.2,6.71
127,Nanortalik,0,GL,1548918446,100,60.14,-45.24,26.46,21.83
128,Ketchikan,90,US,1548914160,96,55.34,-131.65,44.06,10.29
129,Guadalajara,75,ES,1548916200,93,40.63,-3.16,51.8,13.87
130,Aykhal,32,RU,1548918553,0,65.95,111.51,-43.48,3.71
131,Sao Jose da Coroa Grande,80,BR,1548918857,97,-8.9,-35.15,75.28,3.94
132,Ikalamavony,8,MG,1548918857,72,-21.17,46.6,69.66,4.94
133,Chapais,75,CA,1548914460,83,49.78,-74.86,-5.81,8.05
134,Hasaki,75,JP,1548916200,81,35.73,140.83,48.2,10.29
135,Comodoro Rivadavia,0,AR,1548914400,41,-45.87,-67.48,57.2,18.34
136,Bayan,0,MN,1548918858,20,47.25,107.54,18.31,18.48
137,Saint-Philippe,1,CA,1548917100,59,45.36,-73.48,1.4,24.16
138,Rodeo,0,MX,1548918859,63,25.18,-104.56,38.65,1.92
139,Coquimbo,90,CL,1548914400,88,-29.95,-71.34,62.6,5.82
141,Upernavik,56,GL,1548918430,94,72.79,-56.15,5.35,9.75
142,Rutland,1,US,1548916500,50,43.61,-72.97,1.04,11.41
143,Guiratinga,0,BR,1548918860,90,-16.35,-53.76,67.68,2.71
144,Coahuayana,0,MX,1548918860,64,18.62,-100.35,47.25,2.15
145,Los Llanos de Aridane,8,ES,1548916200,77,28.66,-17.92,60.8,10.29
146,Ustka,92,PL,1548918860,100,54.58,16.86,29.07,14.12
147,Tibati,8,CM,1548918861,32,6.47,12.63,67.14,10.87
148,Jalu,0,LY,1548918449,52,29.03,21.55,43.92,9.19
149,Quisqueya,20,DO,1548918000,94,18.55,-69.41,69.8,5.82
150,Jalingo,8,NG,1548918862,29,10.21,12.82,62.37,8.75
151,Abalak,0,NE,1548918862,41,15.46,6.28,49.95,8.3
152,Dawlatabad,20,AF,1548918862,81,36.41,64.91,45.58,2.59
154,Darhan,12,MN,1548918863,26,49.49,105.92,21.24,11.65
155,Tuktoyaktuk,90,CA,1548914400,76,69.44,-133.03,-5.81,16.11
156,Hithadhoo,56,MV,1548918455,98,-0.6,73.08,83.88,18.81
157,Barranca de Upia,0,CO,1548918863,75,4.57,-72.97,65.83,2.15
159,Sao Felix do Xingu,20,BR,1548918864,100,-6.64,-51.99,71.28,1.92
160,Tiarei,75,PF,1548918000,74,-17.53,-149.33,82.4,11.41
161,Opuwo,24,NA,1548918864,81,-18.06,13.84,68.31,3.04
164,Mar del Plata,0,AR,1548918436,59,-46.43,-67.52,55.03,17.25
165,Margate,0,AU,1548916200,20,-43.03,147.26,62.6,23.04
167,Acapulco,40,MX,1548916920,78,16.86,-99.88,73.4,2.59
168,Barrow,0,AR,1548918423,90,-38.31,-60.23,53.64,4.61
169,New Norfolk,0,AU,1548916200,20,-42.78,147.06,62.6,23.04
170,Fukue,75,JP,1548916200,87,35.03,136.69,44.6,2.24
171,Geraldton,75,CA,1548914400,61,49.72,-86.95,-23.81,8.05
172,Ahipara,0,NZ,1548918497,55,-35.17,173.16,78.3,4.5
173,Narsaq,0,GL,1548913800,41,60.91,-46.05,19.4,2.24
174,Cidreira,32,BR,1548918469,89,-30.17,-50.22,75.55,3.15
175,Cicalengka,40,ID,1548916200,70,-6.31,106.62,84.2,4.7
176,Shelburne,90,CA,1548915300,83,44.08,-80.2,-4.01,20.8
177,Homer,90,US,1548913980,95,59.64,-151.54,33.98,3.36
178,Mnogovershinnyy,76,RU,1548918868,82,53.94,139.92,14.4,6.62
179,Buin,0,CL,1548914400,56,-33.73,-70.74,68,3.36
181,Bahia Blanca,0,AR,1548918631,88,-38.72,-62.27,64.26,14.79
182,Borovoy,92,RU,1548918869,85,63.23,52.89,12.33,9.31
183,Kokstad,0,ZA,1548918870,71,-30.55,29.42,67.14,3.15
184,Mercedes,48,UY,1548918870,91,-33.25,-58.03,76.5,2.71
185,Upata,92,VE,1548918870,92,8.02,-62.41,71.95,5.84
186,Borogontsy,0,RU,1548918871,0,62.67,131.17,-33.94,3.38
187,Namibe,12,AO,1548918510,100,-15.19,12.15,73.17,7.52
188,Lethem,12,GY,1548918871,72,3.38,-59.8,78.75,11.32
189,Wanning,20,AT,1548917400,92,48.64,13.53,26.6,4.7
190,Lasa,75,CY,1548916200,63,34.92,32.53,60.8,4.7
191,Wasilla,75,US,1548918480,88,61.58,-149.44,30.92,2.37
192,Puerto Ayora,88,EC,1548918416,100,-0.74,-90.35,78.25,5.17
193,Luderitz,12,NA,1548918440,90,-26.65,15.16,59.53,15.01
194,Teknaf,0,BD,1548918873,56,20.86,92.31,80.55,0.92
195,Port-Gentil,40,GA,1548914400,100,-0.72,8.78,77,2.24
196,Linxia,12,CN,1548918873,52,35.6,103.21,28.75,3.83
197,Faanui,88,PF,1548918428,98,-16.48,-151.75,84.1,19.82
199,Lorengau,68,PG,1548918451,100,-2.02,147.27,82.48,12.88
200,Cap Malheureux,75,MU,1548914400,83,-19.98,57.61,80.6,10.29
201,Hervey Bay,40,AU,1548914400,55,-25.3,152.85,86,14.99
202,Lavrentiya,0,RU,1548918875,73,65.58,-170.99,12.91,22.06
203,Constitucion,0,MX,1548918875,51,23.99,-104.67,39.55,6.06
204,Tura,0,IN,1548918412,66,25.52,90.21,68.04,8.19
205,Bozoum,24,CF,1548918876,22,6.31,16.38,70.02,10.54
206,Sivaki,0,RU,1548918876,39,52.63,126.75,-4.78,8.08
208,Raymond,1,US,1548917760,39,43.04,-71.18,5,9.17
209,Bathsheba,40,BB,1548914400,65,13.22,-59.52,77,16.11
210,Ponta do Sol,8,BR,1548918472,59,-20.63,-46,71.28,4.94
211,Kandry,68,RU,1548918877,84,54.55,54.1,9.18,4.16
213,Kondinskoye,44,RU,1548918878,33,59.65,67.41,-21.92,3.94
214,Kodinsk,44,RU,1548918878,57,58.6,99.18,-1.72,5.73
215,Bima,8,ID,1548918878,100,-8.45,118.73,78.88,4.05
216,Pucallpa,75,PE,1548914400,100,-8.38,-74.54,75.2,3.36
217,Dali,0,CN,1548918520,65,25.6,100.24,54.54,2.04
218,Fare,92,PF,1548918879,97,-16.7,-151.02,83.65,18.92
219,Sept-Iles,5,CA,1548914400,72,50.2,-66.38,10.4,18.34
220,Binzhou,56,CN,1548918512,40,37.38,117.96,35.91,9.75
221,Portland,75,US,1548917580,69,45.52,-122.67,39.92,9.17
222,Rawson,0,AR,1548918880,36,-43.3,-65.11,53.73,8.41
223,Bowen,92,AU,1548918880,100,-20.01,148.25,77.22,22.06
224,Guerrero Negro,24,MX,1548918448,100,27.97,-114.04,50.31,5.39
225,Yenagoa,12,NG,1548918539,90,4.92,6.26,73.62,2.71
226,Taraz,90,KZ,1548916200,75,42.89,71.39,41,20.13
227,Fomboni,0,KM,1548918881,100,-12.28,43.74,82.71,8.19
228,Luau,92,CD,1548918882,99,-10.7,22.23,65.38,1.7
229,Kudahuvadhoo,8,MV,1548918882,99,2.67,72.89,82.17,18.25
230,Zyryanka,0,RU,1548918882,0,65.73,150.89,-45.91,2.15
231,Ancud,0,CL,1548914400,93,-41.87,-73.83,41,3.36
232,Copiapo,0,CL,1548918000,72,-27.37,-70.33,64.4,4.7
233,Sorland,0,NO,1548917400,69,67.67,12.69,35.6,13.87
234,Marrakesh,0,MA,1548916200,87,31.63,-7.99,50,5.82
235,Erzin,75,TR,1548917400,87,36.95,36.2,50,8.05
236,Nahavand,0,IR,1548918884,73,34.19,48.37,33.93,3.49
238,Eregli,80,TR,1548918884,82,37.51,34.05,30.51,4.27
239,Talcahuano,0,CL,1548918000,81,-36.72,-73.12,53.6,6.93
240,Salinopolis,88,BR,1548918885,100,-0.61,-47.36,78.43,10.42
241,Mareeba,75,AU,1548916200,94,-16.99,145.42,78.8,5.82
243,Menfi,40,IT,1548917400,66,37.61,12.97,51.8,10.29
244,Kununurra,32,AU,1548916200,62,-15.77,128.74,87.8,11.41
245,Mwinilunga,92,ZM,1548918887,99,-11.73,24.43,63,3.15
246,Elat,64,CM,1548918887,96,2.91,11.16,66.91,2.15
247,Lermontovka,44,RU,1548918887,49,47.15,134.34,6.03,13
248,Lompoc,40,US,1548916500,100,34.64,-120.46,57.02,3.49
249,Anshun,92,CN,1548918888,79,26.25,105.93,48.87,6.29
250,Morondava,0,MG,1548918888,89,-20.3,44.28,83.34,2.15
251,Itarema,92,BR,1548918888,97,-2.92,-39.92,76.05,7.18
252,Oussouye,0,SN,1548914400,82,12.49,-16.54,66.2,4.7
253,Papara,40,BR,1548918000,88,-3.98,-38.73,80.6,9.17
254,Meulaboh,92,ID,1548918889,100,4.14,96.13,76.45,2.59
255,Mozarlandia,36,BR,1548918889,87,-14.74,-50.57,73.48,3.27
256,Ambilobe,32,MG,1548918575,100,-13.19,49.05,80.19,3.6
257,Vondrozo,0,MG,1548918890,94,-22.82,47.32,77.49,4.05
259,Chegem,90,RU,1548916200,96,43.56,43.59,32,2.24
260,Guane,8,CU,1548918891,96,22.2,-84.09,66.42,4.38
262,Isangel,92,VU,1548918431,100,-19.55,169.27,77.85,17.69
263,Husavik,0,CA,1548918891,0,50.56,-96.99,-43.03,6.62
264,Bahia de Caraquez,75,EC,1548918000,78,-0.6,-80.42,78.8,5.82
265,Nikolskoye,75,RU,1548916200,92,59.7,30.79,23,4.47
266,Lazaro Cardenas,32,MX,1548918892,45,28.39,-105.62,48.6,3.94
267,Vrangel,0,RU,1548918892,100,42.73,133.08,19.75,24.85
269,Tambovka,44,UA,1548918893,88,46.93,35.45,34.83,16.46
270,Saint-Pierre,90,FR,1548916200,100,48.95,4.24,32,8.05
271,Ugoofaaru,0,MV,1548918893,97,5.67,73,82.62,19.26
272,Ilesha,56,NG,1548918894,96,7.14,5.26,71.05,2.59
273,Te Anau,80,NZ,1548918894,45,-45.41,167.72,71.64,15.79
275,Beloha,0,MG,1548918536,47,-25.17,45.06,84.24,12.77
276,Kamaishi,75,JP,1548918000,52,39.28,141.86,32,16.11
277,Puerto Quijarro,32,BO,1548918895,78,-19,-57.72,75.73,2.37
278,Norman Wells,75,CA,1548917220,69,65.28,-126.83,-7.61,14.99
279,Edgewater,40,US,1548917700,85,28.99,-80.9,55.22,4.7
281,Fortuna,0,ES,1548916200,54,38.18,-1.13,59,8.05
282,Yinchuan,0,CN,1548918896,56,38.48,106.21,22.41,5.39
283,Torbay,90,CA,1548917280,100,47.66,-52.73,30.2,17.22
284,Volot,92,RU,1548918897,97,57.93,30.71,23.08,3.04
285,Hayden,90,US,1548917580,92,47.77,-116.79,28.94,3.36
286,Hofn,8,IS,1548918418,100,64.25,-15.21,30.42,24.18
287,Motala,68,SE,1548917400,85,58.54,15.04,23,9.17
288,Marawi,80,PH,1548918558,68,8,124.29,80.01,3.15
289,Atambua,92,ID,1548918898,100,-9.11,124.89,76.5,6.96
290,Aksay,90,RU,1548916200,94,47.27,39.86,32,24.61
291,Kampot,0,KH,1548916200,55,10.62,104.18,89.6,14.99
292,Kimbe,92,PG,1548918899,100,-5.56,150.15,78.88,5.84
293,Gazojak,8,TM,1548918899,87,41.19,61.4,33.21,4.61
296,Khed,0,IN,1548918900,42,18.85,73.88,76.59,6.4
297,Thunder Bay,5,CA,1548914400,61,48.41,-89.26,-22.01,8.05
298,Touros,20,BR,1548918000,88,-5.2,-35.46,77,4.7
299,Springbok,20,ZA,1548916980,55,-29.67,17.88,66.2,5.82
300,Vila,40,IT,1548917400,100,45.18,8.4,28.4,5.82
301,Hualmay,20,PE,1548918439,95,-11.1,-77.61,66.42,1.48
302,Ures,0,MX,1548918902,92,30.73,-112.95,49.14,2.37
303,Bonthe,8,SL,1548918454,96,7.53,-12.5,77.22,4.05
